x,y,u,v,p,area
0.581,0.042,0.38799999999999996,0.0007610000000000001,0.529,0.019801980198019802
0.209,0.0675,1.19,-0.0354,1.5,0.019801980198019802
0.41600000000000004,0.0857,0.763,0.0967,0.735,0.019801980198019802
0.386,0.271,0.848,-0.188,0.8,0.019801980198019802
1.04,0.0998,0.752,-0.0035299999999999997,0.0581,0.019801980198019802
0.8059999999999999,0.374,0.34,5.7100000000000006e-05,0.304,0.019801980198019802
0.835,0.321,0.695,-0.000849,0.275,0.019801980198019802
0.0588,0.134,0.855,-0.18899999999999997,2.66,0.019801980198019802
0.252,0.213,0.0092,-0.017,0.42700000000000005,0.019801980198019802
0.972,0.249,0.932,-0.00472,0.134,0.019801980198019802
0.0528,0.22,0.902,0.0866,2.81,0.019801980198019802
0.968,0.0182,0.18,-3.98e-05,0.135,0.019801980198019802
0.0196,0.29100000000000004,0.826,0.0711,2.55,0.019801980198019802
0.516,0.226,0.9279999999999999,-0.0351,0.622,0.019801980198019802
0.706,0.131,0.871,-0.00176,0.40700000000000003,0.019801980198019802
0.9009999999999999,0.0616,0.534,0.000865,0.204,0.019801980198019802
0.96,0.15,0.917,-0.0011099999999999999,0.145,0.019801980198019802
0.94,0.16399999999999998,0.94,-0.000762,0.165,0.019801980198019802
0.315,0.147,0.617,0.257,0.83,0.019801980198019802
0.43200000000000005,0.0753,0.695,0.0677,0.706,0.019801980198019802
1.0,0.044,0.40399999999999997,-0.000572,0.10099999999999999,0.019801980198019802
0.10400000000000001,0.381,0.41600000000000004,0.0477,2.28,0.019801980198019802
0.252,0.135,0.6459999999999999,0.265,0.737,0.019801980198019802
0.111,0.0105,0.18100000000000002,-0.00892,2.36,0.019801980198019802
0.745,0.365,0.409,0.000628,0.365,0.019801980198019802
0.927,0.187,0.963,-0.00107,0.18,0.019801980198019802
0.292,0.0702,1.02,0.179,1.01,0.019801980198019802
0.20600000000000002,0.131,0.762,0.000291,1.03,0.019801980198019802
0.871,0.19,0.9620000000000001,0.00132,0.23600000000000002,0.019801980198019802
0.6679999999999999,0.289,0.83,0.000964,0.444,0.019801980198019802
0.0697,0.0944,0.775,-0.20199999999999999,2.51,0.019801980198019802
0.75,0.0228,0.225,-5.05e-05,0.36200000000000004,0.019801980198019802
0.397,0.396,0.198,-0.00586,0.727,0.019801980198019802
0.755,0.344,0.5579999999999999,0.000974,0.355,0.019801980198019802
0.449,0.19899999999999998,0.84,-0.0138,0.722,0.019801980198019802
0.773,0.205,0.9620000000000001,0.00221,0.337,0.019801980198019802
1.06,0.126,0.855,-0.00352,0.0441,0.019801980198019802
0.9490000000000001,0.371,0.35600000000000004,-0.000991,0.158,0.019801980198019802
0.22399999999999998,0.271,0.775,-0.13,0.794,0.019801980198019802
0.754,0.307,0.758,0.00202,0.355,0.019801980198019802
0.7290000000000001,0.0624,0.544,-0.0006799999999999999,0.384,0.019801980198019802
0.8590000000000001,0.373,0.349,-0.000323,0.25,0.019801980198019802
0.633,0.0421,0.389,-0.001,0.48,0.019801980198019802
0.54,0.192,0.9420000000000001,-0.00945,0.591,0.019801980198019802
0.332,0.36700000000000005,0.6970000000000001,-0.0733,0.909,0.019801980198019802
0.7240000000000001,0.0911,0.7140000000000001,-0.000978,0.389,0.019801980198019802
0.9740000000000001,0.342,0.568,-0.00292,0.134,0.019801980198019802
0.535,0.0136,0.138,0.000567,0.5720000000000001,0.019801980198019802
0.655,0.0272,0.264,-0.000625,0.45799999999999996,0.019801980198019802
0.0617,0.139,0.856,-0.195,2.68,0.019801980198019802
0.608,0.18,0.955,-0.00543,0.511,0.019801980198019802
0.35200000000000004,0.0231,0.36200000000000004,0.022,0.821,0.019801980198019802
0.888,0.37200000000000005,0.35700000000000004,-0.000612,0.22,0.019801980198019802
0.888,0.29100000000000004,0.8240000000000001,-0.00268,0.22,0.019801980198019802
0.20800000000000002,0.0061200000000000004,0.179,-0.000172,1.64,0.019801980198019802
1.0,0.29,0.8240000000000001,-0.00576,0.10300000000000001,0.019801980198019802
0.136,0.363,0.7490000000000001,0.124,2.12,0.019801980198019802
0.146,0.0832,1.04,-0.311,2.09,0.019801980198019802
0.35100000000000003,0.281,0.872,-0.245,0.8420000000000001,0.019801980198019802
0.635,0.275,0.873,-0.00328,0.478,0.019801980198019802
0.935,0.166,0.943,-0.0005769999999999999,0.171,0.019801980198019802
0.259,0.17800000000000002,0.0815,0.0969,0.523,0.019801980198019802
0.711,0.135,0.879,-0.00146,0.402,0.019801980198019802
0.111,0.256,0.7959999999999999,0.45399999999999996,2.63,0.019801980198019802
0.721,0.18,0.9540000000000001,0.000346,0.39,0.019801980198019802
0.0626,0.203,0.855,0.026,2.85,0.019801980198019802
0.7170000000000001,0.11199999999999999,0.805,-0.00132,0.396,0.019801980198019802
0.426,0.013,0.156,0.0032600000000000003,0.6809999999999999,0.019801980198019802
0.045,0.281,0.865,0.165,2.57,0.019801980198019802
1.04,0.244,0.94,-0.00635,0.0598,0.019801980198019802
0.8540000000000001,0.0324,0.309,0.000413,0.252,0.019801980198019802
0.0649,0.126,0.8420000000000001,-0.21600000000000003,2.63,0.019801980198019802
0.845,0.41,0.0,0.0,0.264,0.019801980198019802
0.937,0.121,0.838,0.000393,0.16699999999999998,0.019801980198019802
0.46299999999999997,0.0424,0.429,0.0178,0.652,0.019801980198019802
0.386,0.153,0.7490000000000001,0.135,0.804,0.019801980198019802
0.888,0.19,0.963,0.000611,0.21899999999999997,0.019801980198019802
0.639,0.14300000000000002,0.902,-0.00351,0.47600000000000003,0.019801980198019802
0.536,0.405,0.0515,-0.000117,0.562,0.019801980198019802
0.44,0.0796,0.708,0.0654,0.696,0.019801980198019802
0.284,0.0693,1.04,0.17300000000000001,1.04,0.019801980198019802
0.0777,0.0119,0.156,-0.00797,2.46,0.019801980198019802
0.6679999999999999,0.13699999999999998,0.887,-0.0034100000000000003,0.446,0.019801980198019802
0.846,0.124,0.847,0.00294,0.262,0.019801980198019802
1.08,0.19399999999999998,0.972,-0.0049,0.0215,0.019801980198019802
0.574,0.23800000000000002,0.9420000000000001,-0.0191,0.5479999999999999,0.019801980198019802
0.882,0.244,0.9359999999999999,-0.00151,0.226,0.019801980198019802
0.8390000000000001,0.203,0.963,0.00165,0.26899999999999996,0.019801980198019802
0.5670000000000001,0.35600000000000004,0.483,-0.0066099999999999996,0.539,0.019801980198019802
0.263,0.033,0.7290000000000001,0.045,1.2,0.019801980198019802
0.8759999999999999,0.273,0.878,-0.0022199999999999998,0.23199999999999998,0.019801980198019802
0.26899999999999996,0.28,0.875,-0.28800000000000003,0.8270000000000001,0.019801980198019802
0.258,0.0193,0.47700000000000004,0.0168,1.23,0.019801980198019802
0.342,0.38299999999999995,0.45299999999999996,-0.03,0.8640000000000001,0.019801980198019802
0.596,0.22699999999999998,0.9540000000000001,-0.0121,0.523,0.019801980198019802
0.0556,0.113,0.813,-0.179,2.58,0.019801980198019802
1.01,0.111,0.8009999999999999,-0.002,0.0953,0.019801980198019802
0.285,0.24,0.37200000000000005,-0.21600000000000003,0.718,0.019801980198019802
0.7020000000000001,0.0944,0.73,-0.0019,0.41200000000000003,0.019801980198019802
0.9940000000000001,0.071,0.596,-0.0009689999999999999,0.107,0.019801980198019802
0.565,0.35100000000000003,0.518,-0.00811,0.5429999999999999,0.019801980198019802
0.922,0.17600000000000002,0.9540000000000001,-0.00040199999999999996,0.184,0.019801980198019802
0.621,0.171,0.9470000000000001,-0.00447,0.496,0.019801980198019802
0.598,0.00427,0.0434,-1.62e-05,0.513,0.019801980198019802
0.35200000000000004,0.151,0.6809999999999999,0.192,0.835,0.019801980198019802
0.82,0.41,0.0,0.0,0.29,0.019801980198019802
0.996,0.253,0.9259999999999999,-0.00536,0.11,0.019801980198019802
0.0392,0.363,0.43799999999999994,0.0434,2.41,0.019801980198019802
0.235,0.0889,1.21,0.109,1.17,0.019801980198019802
0.613,0.0214,0.209,-0.00020899999999999998,0.5,0.019801980198019802
0.784,0.226,0.953,0.00212,0.325,0.019801980198019802
0.508,0.135,0.8640000000000001,0.0286,0.624,0.019801980198019802
0.325,0.154,0.588,0.223,0.8320000000000001,0.019801980198019802
0.759,0.298,0.7979999999999999,0.0020399999999999997,0.35100000000000003,0.019801980198019802
0.377,0.139,0.778,0.171,0.8109999999999999,0.019801980198019802
0.0636,0.154,0.856,-0.174,2.75,0.019801980198019802
0.0681,0.0852,0.735,-0.177,2.49,0.019801980198019802
0.7559999999999999,0.20600000000000002,0.9620000000000001,0.00202,0.355,0.019801980198019802
0.184,0.0976,1.21,-0.228,1.61,0.019801980198019802
0.82,0.33899999999999997,0.59,-0.00021899999999999998,0.289,0.019801980198019802
1.08,0.262,0.907,-0.00599,0.0217,0.019801980198019802
0.35,0.0762,0.8540000000000001,0.16,0.853,0.019801980198019802
0.392,0.37799999999999995,0.429,-0.0284,0.754,0.019801980198019802
0.667,0.0032,0.033,2.97e-05,0.449,0.019801980198019802
0.0573,0.0256,0.278,-0.0229,2.47,0.019801980198019802
0.46799999999999997,0.175,0.87,0.0205,0.69,0.019801980198019802
0.08,0.0,0.0,0.0,2.46,0.019801980198019802
0.7759999999999999,0.278,0.863,0.0016300000000000002,0.33399999999999996,0.019801980198019802
0.0459,0.359,0.48100000000000004,0.0585,2.4,0.019801980198019802
0.299,0.063,0.9540000000000001,0.154,0.998,0.019801980198019802
0.163,0.23399999999999999,0.0,0.0,2.59,0.019801980198019802
0.32,0.0341,0.5870000000000001,0.0544,0.9259999999999999,0.019801980198019802
0.308,0.145,0.617,0.271,0.823,0.019801980198019802
0.987,0.251,0.9279999999999999,-0.0050799999999999994,0.11900000000000001,0.019801980198019802
0.753,0.184,0.956,0.0016699999999999998,0.359,0.019801980198019802
0.5760000000000001,0.149,0.909,0.00126,0.545,0.019801980198019802
0.41200000000000003,0.0563,0.6,0.0564,0.728,0.019801980198019802
0.583,0.006409999999999999,0.0648,-2.0399999999999998e-05,0.526,0.019801980198019802
0.439,0.217,0.8290000000000001,-0.0493,0.737,0.019801980198019802
0.614,0.247,0.9329999999999999,-0.00867,0.502,0.019801980198019802
0.491,0.24,0.9079999999999999,-0.0561,0.654,0.019801980198019802
0.386,0.0976,0.8320000000000001,0.152,0.7879999999999999,0.019801980198019802
0.42,0.41,0.0,0.0,0.6809999999999999,0.019801980198019802
0.951,0.33299999999999996,0.624,-0.00295,0.157,0.019801980198019802
0.42700000000000005,0.28800000000000003,0.875,-0.135,0.736,0.019801980198019802
0.248,0.102,1.11,0.203,1.01,0.019801980198019802
0.122,0.121,0.903,-0.456,2.41,0.019801980198019802
0.605,0.135,0.878,-0.00124,0.512,0.019801980198019802
0.281,0.34,1.1,-0.153,1.07,0.019801980198019802
0.429,0.19,0.797,0.0111,0.752,0.019801980198019802
0.5489999999999999,0.122,0.8370000000000001,0.0115,0.5710000000000001,0.019801980198019802
0.602,0.38299999999999995,0.26,-0.000536,0.505,0.019801980198019802
0.943,0.00963,0.0974,2.91e-06,0.16,0.019801980198019802
0.19,0.359,0.993,0.0759,1.72,0.019801980198019802
1.07,0.23800000000000002,0.9490000000000001,-0.00617,0.0309,0.019801980198019802
0.7490000000000001,0.285,0.8420000000000001,0.00245,0.361,0.019801980198019802
0.278,0.29600000000000004,1.04,-0.275,0.909,0.019801980198019802
0.366,0.106,0.858,0.195,0.823,0.019801980198019802
0.41200000000000003,0.231,0.787,-0.0943,0.7759999999999999,0.019801980198019802
0.638,0.128,0.861,-0.00315,0.47700000000000004,0.019801980198019802
0.738,0.316,0.7190000000000001,0.00215,0.37200000000000005,0.019801980198019802
0.244,0.00988,0.271,0.00373,1.32,0.019801980198019802
0.993,0.114,0.813,-0.00155,0.11,0.019801980198019802
1.1,0.0128,0.135,-0.00024700000000000004,-0.00298,0.019801980198019802
1.01,0.106,0.782,-0.0019199999999999998,0.0964,0.019801980198019802
0.9670000000000001,0.322,0.6859999999999999,-0.0038,0.141,0.019801980198019802
0.78,0.175,0.9490000000000001,0.0022600000000000003,0.32899999999999996,0.019801980198019802
0.58,0.0,0.0,0.0,0.529,0.019801980198019802
0.7659999999999999,0.345,0.557,0.000837,0.344,0.019801980198019802
0.0738,0.0346,0.4,-0.0506,2.44,0.019801980198019802
0.664,0.221,0.9590000000000001,-0.0016300000000000002,0.449,0.019801980198019802
0.46,0.335,0.6940000000000001,-0.0589,0.667,0.019801980198019802
1.01,0.39899999999999997,0.105,-0.000242,0.0969,0.019801980198019802
0.41100000000000003,0.16399999999999998,0.778,0.0815,0.774,0.019801980198019802
1.06,0.19,0.9690000000000001,-0.00466,0.0414,0.019801980198019802
0.38,0.342,0.7859999999999999,-0.111,0.7979999999999999,0.019801980198019802
0.501,0.18899999999999997,0.912,-0.00498,0.644,0.019801980198019802
0.669,0.174,0.951,-0.00294,0.445,0.019801980198019802
0.205,0.0527,1.06,-0.036,1.6,0.019801980198019802
0.465,0.0,0.0,0.0,0.635,0.019801980198019802
0.9009999999999999,0.361,0.436,-0.0011300000000000001,0.207,0.019801980198019802
0.8590000000000001,0.132,0.87,0.00281,0.248,0.019801980198019802
0.845,0.152,0.9179999999999999,0.00297,0.262,0.019801980198019802
0.33799999999999997,0.102,0.9009999999999999,0.23600000000000002,0.866,0.019801980198019802
0.885,0.185,0.96,0.000968,0.222,0.019801980198019802
0.0168,0.11800000000000001,0.821,-0.0552,2.63,0.019801980198019802
0.74,0.209,0.961,0.00176,0.37,0.019801980198019802
0.272,0.0406,0.8220000000000001,0.07,1.15,0.019801980198019802
1.04,0.24600000000000002,0.937,-0.00634,0.065,0.019801980198019802
0.166,0.285,1.11,0.41600000000000004,1.75,0.019801980198019802
0.523,0.379,0.31,-0.00547,0.58,0.019801980198019802
0.792,0.337,0.606,0.00047699999999999994,0.317,0.019801980198019802
0.275,0.35600000000000004,0.9940000000000001,-0.0978,1.13,0.019801980198019802
1.04,0.365,0.40299999999999997,-0.0026100000000000003,0.0661,0.019801980198019802
0.732,0.085,0.682,-0.000653,0.381,0.019801980198019802
0.155,0.41,0.0,0.0,2.07,0.019801980198019802
0.43799999999999994,0.386,0.287,-0.0105,0.675,0.019801980198019802
0.95,0.0979,0.743,0.000171,0.154,0.019801980198019802
0.31,0.175,0.382,0.15,0.794,0.019801980198019802
0.14800000000000002,0.368,0.741,0.0988,2.05,0.019801980198019802
1.03,0.282,0.852,-0.0066,0.0742,0.019801980198019802
0.131,0.363,0.73,0.125,2.14,0.019801980198019802
0.718,0.184,0.9570000000000001,0.000305,0.39299999999999996,0.019801980198019802
0.222,0.251,0.192,-0.066,0.522,0.019801980198019802
0.0121,0.29,0.831,0.045,2.56,0.019801980198019802
0.0948,0.32799999999999996,0.8170000000000001,0.23800000000000002,2.32,0.019801980198019802
0.763,0.0036899999999999997,0.0384,-1.3000000000000001e-05,0.349,0.019801980198019802
0.156,0.10099999999999999,1.11,-0.382,1.97,0.019801980198019802
0.9259999999999999,0.0255,0.248,0.000194,0.17800000000000002,0.019801980198019802
0.491,0.235,0.9079999999999999,-0.0519,0.6559999999999999,0.019801980198019802
0.937,0.172,0.95,-0.0008820000000000001,0.16899999999999998,0.019801980198019802
0.777,0.369,0.381,0.000258,0.33299999999999996,0.019801980198019802
0.7879999999999999,0.19399999999999998,0.961,0.00225,0.32,0.019801980198019802
0.0446,0.20800000000000002,0.9279999999999999,0.0357,2.82,0.019801980198019802
0.0875,0.39899999999999997,0.15,0.00722,2.36,0.019801980198019802
1.02,0.0299,0.287,-0.00054,0.0858,0.019801980198019802
0.636,0.212,0.9640000000000001,-0.00491,0.48,0.019801980198019802
0.8909999999999999,0.13699999999999998,0.884,0.00203,0.215,0.019801980198019802
0.5870000000000001,0.185,0.955,-0.006520000000000001,0.5329999999999999,0.019801980198019802
0.79,0.0982,0.748,0.00173,0.32,0.019801980198019802
0.938,0.261,0.907,-0.0038799999999999998,0.17,0.019801980198019802
0.24,0.0,0.0,0.0,1.34,0.019801980198019802
0.381,0.305,0.905,-0.184,0.804,0.019801980198019802
0.233,0.39799999999999996,0.326,-0.00234,1.42,0.019801980198019802
0.293,0.0843,1.04,0.228,0.977,0.019801980198019802
0.871,0.171,0.9470000000000001,0.00198,0.23600000000000002,0.019801980198019802
1.07,0.0682,0.58,-0.0087,0.0258,0.019801980198019802
0.629,0.23399999999999999,0.9490000000000001,-0.00566,0.486,0.019801980198019802
0.9440000000000001,0.266,0.8959999999999999,-0.00415,0.16399999999999998,0.019801980198019802
1.08,0.0688,0.583,-0.0115,0.0183,0.019801980198019802
1.04,0.376,0.314,-0.00159,0.0717,0.019801980198019802
0.244,0.233,0.0634,-0.0632,0.402,0.019801980198019802
0.8540000000000001,0.0095,0.0968,5.11e-05,0.252,0.019801980198019802
0.494,0.0674,0.595,0.0232,0.622,0.019801980198019802
1.07,0.14800000000000002,0.915,-0.00331,0.0316,0.019801980198019802
0.6609999999999999,0.17,0.9470000000000001,-0.0034200000000000003,0.45399999999999996,0.019801980198019802
0.687,0.0192,0.191,-0.000317,0.42700000000000005,0.019801980198019802
0.0863,0.221,0.736,0.16899999999999998,2.89,0.019801980198019802
1.09,0.264,0.903,-0.00548,0.0118,0.019801980198019802
0.674,0.294,0.812,0.00144,0.43799999999999994,0.019801980198019802
0.956,0.0793,0.6459999999999999,6.97e-05,0.147,0.019801980198019802
0.972,0.0051,0.0523,-3.18e-05,0.13,0.019801980198019802
0.972,0.23800000000000002,0.9470000000000001,-0.00443,0.134,0.019801980198019802
1.07,0.198,0.972,-0.00504,0.0366,0.019801980198019802
0.935,0.315,0.72,-0.0033799999999999998,0.17300000000000001,0.019801980198019802
0.21600000000000003,0.365,0.96,0.0119,1.53,0.019801980198019802
0.6659999999999999,0.11900000000000001,0.83,-0.0033200000000000005,0.44799999999999995,0.019801980198019802
1.07,0.0288,0.281,-0.0022199999999999998,0.0304,0.019801980198019802
0.768,0.29,0.826,0.00187,0.342,0.019801980198019802
0.0849,0.183,0.7290000000000001,-0.106,2.91,0.019801980198019802
0.0828,0.0186,0.247,-0.0192,2.43,0.019801980198019802
0.7929999999999999,0.248,0.9279999999999999,0.00135,0.315,0.019801980198019802
0.42200000000000004,0.249,0.8390000000000001,-0.12,0.7559999999999999,0.019801980198019802
0.988,0.0446,0.409,-0.000397,0.114,0.019801980198019802
0.327,0.245,0.5870000000000001,-0.213,0.8270000000000001,0.019801980198019802
0.37799999999999995,0.221,0.669,-0.0855,0.818,0.019801980198019802
0.595,0.41,0.0,0.0,0.51,0.019801980198019802
0.313,0.18,0.369,0.121,0.797,0.019801980198019802
0.622,0.295,0.8079999999999999,-0.0045899999999999995,0.49,0.019801980198019802
0.5770000000000001,0.384,0.247,-0.0012900000000000001,0.527,0.019801980198019802
0.639,0.147,0.909,-0.00359,0.47700000000000004,0.019801980198019802
0.00506,0.141,0.903,-0.0159,2.72,0.019801980198019802
0.0557,0.27399999999999997,0.878,0.20600000000000002,2.59,0.019801980198019802
0.445,0.249,0.868,-0.0968,0.721,0.019801980198019802
0.953,0.406,0.0417,-3.8e-05,0.154,0.019801980198019802
0.7390000000000001,0.295,0.809,0.00252,0.37200000000000005,0.019801980198019802
0.0,0.255,0.94,0.0,2.71,0.019801980198019802
0.0702,0.39,0.24,0.0179,2.38,0.019801980198019802
0.795,0.055,0.491,0.000863,0.315,0.019801980198019802
0.0185,0.34600000000000003,0.537,0.0332,2.43,0.019801980198019802
0.838,0.109,0.792,0.00278,0.27,0.019801980198019802
0.627,0.327,0.66,-0.00165,0.483,0.019801980198019802
0.0624,0.0791,0.693,-0.149,2.49,0.019801980198019802
0.745,0.282,0.852,0.00252,0.365,0.019801980198019802
0.387,0.0651,0.7090000000000001,0.0931,0.7759999999999999,0.019801980198019802
0.96,0.23399999999999999,0.9520000000000001,-0.00398,0.145,0.019801980198019802
0.6629999999999999,0.11199999999999999,0.807,-0.00328,0.451,0.019801980198019802
0.982,0.405,0.0499,-4.15e-05,0.125,0.019801980198019802
0.565,0.248,0.929,-0.0235,0.557,0.019801980198019802
0.494,0.17,0.897,0.015,0.6509999999999999,0.019801980198019802
0.797,0.00569,0.0588,2.1899999999999997e-05,0.313,0.019801980198019802
0.287,0.122,0.8370000000000001,0.308,0.8590000000000001,0.019801980198019802
0.8959999999999999,0.278,0.865,-0.00281,0.213,0.019801980198019802
0.563,0.183,0.9470000000000001,-0.00576,0.563,0.019801980198019802
0.614,0.128,0.861,-0.00182,0.501,0.019801980198019802
0.615,0.35200000000000004,0.503,-0.00147,0.493,0.019801980198019802
0.162,0.264,0.8220000000000001,0.445,1.9,0.019801980198019802
0.635,0.322,0.6859999999999999,-0.0009689999999999999,0.475,0.019801980198019802
0.993,0.0832,0.6679999999999999,-0.0011300000000000001,0.109,0.019801980198019802
0.818,0.0979,0.745,0.00242,0.29100000000000004,0.019801980198019802
0.134,0.10800000000000001,0.992,-0.434,2.24,0.019801980198019802
0.243,0.284,0.97,-0.20800000000000002,0.857,0.019801980198019802
0.7609999999999999,0.115,0.8190000000000001,0.0008119999999999999,0.35100000000000003,0.019801980198019802
0.091,0.35700000000000004,0.619,0.122,2.31,0.019801980198019802
1.1,0.115,0.816,-0.00515,0.0,0.019801980198019802
1.01,0.0908,0.7090000000000001,-0.00205,0.0882,0.019801980198019802
1.1,0.302,0.779,-0.00551,0.0019399999999999999,0.019801980198019802
0.348,0.262,0.764,-0.23399999999999999,0.838,0.019801980198019802
0.5489999999999999,0.392,0.179,-0.00119,0.5529999999999999,0.019801980198019802
0.0608,0.21100000000000002,0.867,0.0652,2.84,0.019801980198019802
0.965,0.16,0.9359999999999999,-0.0016300000000000002,0.14,0.019801980198019802
0.725,0.11800000000000001,0.8290000000000001,-0.000889,0.387,0.019801980198019802
0.33799999999999997,0.297,0.95,-0.254,0.866,0.019801980198019802
1.09,0.29600000000000004,0.804,-0.0061600000000000005,0.0118,0.019801980198019802
0.802,0.376,0.319,4.2e-05,0.306,0.019801980198019802
0.9159999999999999,0.34299999999999997,0.562,-0.00203,0.193,0.019801980198019802
0.652,0.308,0.755,0.000246,0.45899999999999996,0.019801980198019802
0.0944,0.348,0.7,0.16,2.3,0.019801980198019802
0.662,0.27399999999999997,0.8759999999999999,9.640000000000001e-05,0.45,0.019801980198019802
0.9490000000000001,0.128,0.8590000000000001,-0.00017900000000000001,0.155,0.019801980198019802
0.19,0.0144,0.384,-0.0076,1.8,0.019801980198019802
0.442,0.39,0.242,-0.0074,0.6679999999999999,0.019801980198019802
0.92,0.11699999999999999,0.823,0.00107,0.185,0.019801980198019802
0.23800000000000002,0.374,0.8170000000000001,-0.0205,1.38,0.019801980198019802
0.0125,0.0992,0.736,-0.0379,2.58,0.019801980198019802
0.27899999999999997,0.0225,0.503,0.0267,1.1,0.019801980198019802
0.982,0.0982,0.745,-0.000927,0.121,0.019801980198019802
0.348,0.243,0.648,-0.18600000000000003,0.8340000000000001,0.019801980198019802
0.39799999999999996,0.10300000000000001,0.826,0.139,0.769,0.019801980198019802
0.522,0.294,0.8290000000000001,-0.0443,0.6,0.019801980198019802
0.0211,0.392,0.16899999999999998,0.0030800000000000003,2.43,0.019801980198019802
0.5329999999999999,0.282,0.863,-0.0401,0.589,0.019801980198019802
0.659,0.23800000000000002,0.9440000000000001,-0.00149,0.45399999999999996,0.019801980198019802
0.53,0.41,0.0,0.0,0.568,0.019801980198019802
1.1,0.248,0.935,-0.0051,0.00627,0.019801980198019802
0.0584,0.35100000000000003,0.562,0.0922,2.39,0.019801980198019802
0.889,0.34,0.583,-0.0017,0.22,0.019801980198019802
0.598,0.295,0.8140000000000001,-0.0103,0.515,0.019801980198019802
0.851,0.225,0.956,0.00037,0.257,0.019801980198019802
1.09,0.292,0.8190000000000001,-0.00561,0.00611,0.019801980198019802
0.97,0.11800000000000001,0.828,-0.0007650000000000001,0.134,0.019801980198019802
0.14,0.41,0.0,0.0,2.16,0.019801980198019802
0.868,0.245,0.935,-0.00109,0.24,0.019801980198019802
0.9440000000000001,0.29600000000000004,0.804,-0.00405,0.16399999999999998,0.019801980198019802
0.605,0.0136,0.136,-0.000153,0.507,0.019801980198019802
0.8,0.20800000000000002,0.9620000000000001,0.00205,0.308,0.019801980198019802
0.312,0.14800000000000002,0.597,0.258,0.8240000000000001,0.019801980198019802
0.591,0.0953,0.733,0.00161,0.523,0.019801980198019802
0.904,0.344,0.557,-0.0018,0.205,0.019801980198019802
0.972,0.14400000000000002,0.904,-0.00145,0.132,0.019801980198019802
0.38,0.41,0.0,0.0,0.746,0.019801980198019802
0.157,0.165,0.195,-0.213,2.76,0.019801980198019802
0.838,0.358,0.46399999999999997,-0.000324,0.271,0.019801980198019802
0.7709999999999999,0.263,0.9009999999999999,0.0019,0.33799999999999997,0.019801980198019802
0.777,0.0854,0.684,0.00101,0.33399999999999996,0.019801980198019802
0.0971,0.373,0.489,0.0702,2.3,0.019801980198019802
0.488,0.179,0.895,0.00759,0.66,0.019801980198019802
0.917,0.0788,0.643,0.000895,0.187,0.019801980198019802
